signal,benchmark_type,n_obs,n_missing_signal,x_obs_column_count,weighted_jtest_flag,signal_history_augmented,observed_variance_mean,missing_variance_mean,j_stat,j_p_value,j_draw_count,j_mean_draw_p_value,j_p_lt_0_05_share,j_stouffer_z,j_df,j_moment_count,instrument_count,observed_moment_norm,missing_moment_norm,stacked_moment_norm,observed_j_component,missing_j_component
AnalystRevision,augmented_signal_history,1343831,301379,21,True,True,3.3815834630157084,6.410884901567116,579.2023552417486,0.0,10,0.0,1.0,25.113052492022877,37,40,20,0.1187244530590243,0.5168046932134345,0.530489269632507,162.36019240834372,416.84216283340254
AnalystRevision,fixed_x_obs,1343831,301379,13,True,False,3.365502312190237,6.39484658445062,347.9648828761407,0.0,10,0.0,1.0,25.113052492022877,30,30,15,0.11045505368740656,0.15274453410441316,0.18867453797548178,95.78103702506918,252.18384585107032
FEPS,augmented_signal_history,1343831,289955,21,True,True,12.741998030839957,23.23301934735887,398.67449062007444,0.0,10,0.007314141313052624,1.0,19.541209068756718,5,40,20,588831.6244518195,13.058473737967166,588831.6245966932,6.864753575494203,391.8097370445802
FEPS,fixed_x_obs,1343831,289955,13,True,False,2753.1744075623205,4581.442636138289,17747.606443964072,0.0,10,0.0,1.0,25.113052492022877,28,30,15,688.0471057592265,121.36515398044651,698.6693441391418,3583.0815929650344,14164.524850998903
ForecastDispersion,augmented_signal_history,1343831,627267,21,True,True,2.443459016820841,3.917084718252855,3224.548598963636,0.0,10,0.0,1.0,25.113052492022877,36,40,20,0.4483266492057962,4.060474027859458,4.08516697357763,1214.35699178358,2010.1916071800538
ForecastDispersion,fixed_x_obs,995660,456103,13,True,False,2.8787998844893945,4.616778385160228,5174.701822278739,0.0,10,0.0,1.0,25.113052492022877,30,30,15,0.31734974969287266,0.46075195769759353,0.5596249308929012,1400.3231635124232,3774.3786587663235
REV6,augmented_signal_history,1351985,329449,21,True,True,0.10745626663651132,0.22479780011869746,7.334936524094042,5.712061103002597e-07,10,0.06195647922128491,0.0,4.865372874429438,3,40,20,2995790.6826757705,21317606.63814176,21527078.635843452,2.999774405207772,4.335162118801486
REV6,fixed_x_obs,1351985,329449,13,True,False,0.5955242589203575,1.0572496597125651,1551.0826510597028,0.0,10,0.0,1.0,25.113052492022877,28,30,15,4.821874733891337,0.04429491555533861,4.822086198931766,221.6044160086712,1329.4782350510343
