signal,benchmark_type,n_eligible_with_x_obs,n_forward_eval_obs,n_observed_signal,n_missing_signal,imputation_r_squared,x_obs_column_count,weighted_jtest_flag,signal_history_augmented,aux_n_obs,aux_r_squared,stage1_f_stat,stage1_p_value,stage1_draw_count,stage1_mean_draw_p_value,stage1_p_lt_0_05_share,stage1_stouffer_z,tested_restriction_count,missing_indicator_coef,missing_indicator_pvalue
AnalystRevision,augmented_signal_history,1664452,1343831,1042452,301379,0.00014496367437744073,21,True,True,1343831,0.0002628542360734176,6.5539588112911416,0.0,10,1.9053092437104624e-12,1.0,24.496034918627508,19,0.05851378307706934,0.4430843588340741
AnalystRevision,fixed_x_obs,1664452,1343831,1042452,301379,0.00017497811320044132,13,True,False,1343831,0.00026338339086560134,7.613228559388236,0.0,10,2.156275158426979e-13,1.0,24.183874050220545,14,-0.07420230712470553,0.18277529967190634
FEPS,augmented_signal_history,1664452,1343831,1053876,289955,0.9973309906453396,21,True,True,1343831,0.9967938086801416,111.71054767952009,0.0,10,1.1102230246251565e-16,1.0,25.113052492022877,19,3.3564878351886285,3.1407365597146966e-11
FEPS,fixed_x_obs,1664452,1343831,1053876,289955,0.0021795168044210778,13,True,False,1343831,0.0032149763923880136,39.48970575025705,0.0,10,1.1102230246251565e-16,1.0,25.113052492022877,14,76.60506292572725,0.0
ForecastDispersion,augmented_signal_history,1664452,1343831,716564,627267,0.16916122142339118,21,True,True,1343831,0.0740078790266609,686.274100493633,0.0,10,1.1102230246251565e-16,1.0,25.113052492022877,19,-0.4318240043406223,8.548717289613705e-15
ForecastDispersion,fixed_x_obs,1664452,995660,539557,456103,0.0013133095511554949,13,True,False,995660,0.010259962150502011,38.07385906653265,0.0,10,1.1102230246251565e-16,1.0,25.113052492022877,14,-0.2899473650380014,2.805070942191179e-08
REV6,augmented_signal_history,1663253,1351985,1022536,329449,0.6230155202894538,21,True,True,1351985,0.6236680906229258,39257.71102591218,0.0,10,1.1102230246251565e-16,1.0,25.113052492022877,19,0.8067535578182422,0.45058930862601193
REV6,fixed_x_obs,1663253,1351985,1022536,329449,-4.826373285693464e-06,13,True,False,1351985,0.00015381956916687978,6.827284174003492,0.0,10,3.339550858072471e-14,1.0,23.700832775603804,14,-0.11716022987956179,0.9316876680241364
