signal,regime,draw_count,portfolio_test_month_count,predicted_month_count,portfolio_month_count,mean_long_short_spread,median_long_short_spread,spread_t_stat,positive_spread_rate,delta_mean_long_short_spread_vs_complete_case
AnalystRevision,complete_case,1,366,342,342,-0.0004149164596562211,-0.002215750681921841,-0.1351570349117935,0.4766081871345029,0.0
AnalystRevision,conditional_mean,1,366,342,342,0.0060464257526198426,0.005553130323104328,1.69626518605744,0.543859649122807,0.006461342212276064
AnalystRevision,conditional_quantile_draw,25,366,342,342,0.005990860435386645,0.004242834786498743,1.6800858725555718,0.5467836257309941,0.006405776895042866
AnalystRevision,residual_bootstrap,25,366,342,342,0.006038234089654849,0.005586786131062257,1.6946000644769685,0.5467836257309941,0.00645315054931107
AnalystRevision,unconditional_mean,1,366,342,342,0.00602013590374005,0.005553130323104328,1.6874133485635903,0.5409356725146199,0.0064350523633962715
FEPS,complete_case,1,366,360,360,0.00020543975390572552,-0.0006729505106048703,0.06723253836505111,0.4861111111111111,0.0
FEPS,conditional_mean,1,366,360,360,0.006711330487564108,0.0054310228765975,1.9674778117704752,0.5416666666666666,0.006505890733658383
FEPS,conditional_quantile_draw,25,366,360,360,0.006709580448019752,0.0052696559206804015,1.9685053588593553,0.5361111111111111,0.006504140694114027
FEPS,residual_bootstrap,25,366,360,360,0.006724516314285021,0.005581201080623301,1.971047358414463,0.5444444444444444,0.0065190765603792954
FEPS,unconditional_mean,1,366,360,360,0.006782856859992763,0.005548646383830885,1.9931493232942932,0.5361111111111111,0.006577417106087038
ForecastDispersion,complete_case,1,366,354,354,-0.0030768121597641914,-0.004499045518207281,-0.834902388168201,0.4548022598870056,0.0
ForecastDispersion,conditional_mean,1,366,354,354,0.006084429946773297,0.004848396053159648,1.755655141427052,0.53954802259887,0.009161242106537487
ForecastDispersion,conditional_quantile_draw,25,366,354,354,0.006024784018197763,0.004793094673454648,1.737978087175246,0.5423728813559322,0.009101596177961954
ForecastDispersion,residual_bootstrap,25,366,354,354,0.006080035336954373,0.005009172895282838,1.7529424689715032,0.5423728813559322,0.009156847496718565
ForecastDispersion,unconditional_mean,1,366,354,354,0.006029219537121976,0.0050754705942164,1.7390819066742627,0.5423728813559322,0.009106031696886167
REV6,complete_case,1,360,360,360,0.0005872507617561371,-0.0015141885971905675,0.1860616106917284,0.4777777777777778,0.0
REV6,conditional_mean,1,360,360,360,0.00689252794897639,0.0049251771433397335,2.0200389111246593,0.5388888888888889,0.006305277187220253
REV6,conditional_quantile_draw,25,360,360,360,0.006705994770220345,0.004691582297033193,1.9636842079467915,0.5305555555555556,0.006118744008464207
REV6,residual_bootstrap,25,360,360,360,0.006763899609644305,0.005246154741984484,1.979942165471831,0.5333333333333333,0.0061766488478881675
REV6,unconditional_mean,1,360,360,360,0.00687364853474257,0.005449311136183853,2.0140869915448594,0.5416666666666666,0.006286397772986433
