signal,channel,benchmark_type,coverage_sample,focus_regressor,coef,tstat,pvalue,n_months,avg_cross_section_n
ForecastDispersion,direct_missingness,fixed_x_obs,full,missing_indicator,-0.0014045737947892144,-2.0893698332949806,0.03667444458157829,360,4000.275
ForecastDispersion,direct_missingness,fixed_x_obs,within_signal_coverage,missing_indicator,-0.00028497214868635444,-0.45166408673504155,0.6515109940100627,360,3684.475
ForecastDispersion,joint,augmented_signal_history,full,missing_indicator,0.0019064277573954671,2.7324499418257004,0.006286522365748436,359,4001.490250696379
ForecastDispersion,joint,augmented_signal_history,full,x_mar_filled,0.00018728946847912291,0.4217861843210192,0.6731810907984428,359,4001.490250696379
ForecastDispersion,joint,augmented_signal_history,outside_signal_coverage,x_mar_filled,-0.5014280665010693,-0.7264331705554985,0.4675732625661253,359,316.050139275766
ForecastDispersion,joint,augmented_signal_history,within_signal_coverage,missing_indicator,0.0023163866768780754,3.3886609108663857,0.0007023480611255994,359,3685.440111420613
ForecastDispersion,joint,augmented_signal_history,within_signal_coverage,x_mar_filled,0.00018290556129528615,0.41549251430254974,0.6777813939466116,359,3685.440111420613
ForecastDispersion,joint,fixed_x_obs,full,missing_indicator,-0.001423628369226021,-2.1155676056324006,0.03438159941529616,360,4000.275
ForecastDispersion,joint,fixed_x_obs,full,x_mar_filled,-6.759964911757295e-05,-0.22820816999989915,0.8194844102694099,360,4000.275
ForecastDispersion,joint,fixed_x_obs,outside_signal_coverage,x_mar_filled,-0.4889787476594492,-0.9232255476834286,0.35588967781242076,360,315.8
ForecastDispersion,joint,fixed_x_obs,within_signal_coverage,missing_indicator,-0.00030610458691469314,-0.4844205121961549,0.6280874639081329,360,3684.475
ForecastDispersion,joint,fixed_x_obs,within_signal_coverage,x_mar_filled,-4.990400612272761e-05,-0.16972769206900454,0.865224294916787,360,3684.475
ForecastDispersion,recovered_signal,augmented_signal_history,full,x_mar_filled,0.0001402471144706721,0.3228469450715965,0.7468111580566639,359,4001.490250696379
ForecastDispersion,recovered_signal,augmented_signal_history,outside_signal_coverage,x_mar_filled,-0.5014280665010693,-0.7264331705554985,0.4675732625661253,359,316.050139275766
ForecastDispersion,recovered_signal,augmented_signal_history,within_signal_coverage,x_mar_filled,0.00013134800745286676,0.3057298453604784,0.759810347362656,359,3685.440111420613
ForecastDispersion,recovered_signal,fixed_x_obs,full,x_mar_filled,5.6447509208117156e-05,0.18636400889272572,0.8521593147002242,360,4000.275
ForecastDispersion,recovered_signal,fixed_x_obs,outside_signal_coverage,x_mar_filled,-0.4889787476594492,-0.9232255476834286,0.35588967781242076,360,315.8
ForecastDispersion,recovered_signal,fixed_x_obs,within_signal_coverage,x_mar_filled,2.336381594548537e-05,0.07777596124017001,0.9380062686643571,360,3684.475
REV6,direct_missingness,augmented_signal_history,full,missing_indicator,-0.0006585254851800893,-0.2374493875077053,0.8123081793496213,357,4006.551820728291
REV6,direct_missingness,augmented_signal_history,within_signal_coverage,missing_indicator,-0.00046756599378954434,-0.17134652987451193,0.8639512958633483,357,3939.6162464985996
REV6,direct_missingness,fixed_x_obs,full,missing_indicator,0.0002595890255519979,0.3058987270527913,0.7596817551980227,356,4004.705056179775
REV6,direct_missingness,fixed_x_obs,within_signal_coverage,missing_indicator,0.0008663919946657238,1.0406527372257668,0.29803674578812067,356,3937.7359550561796
REV6,joint,augmented_signal_history,full,missing_indicator,-0.0009349996076791124,-0.3331659875618051,0.7390089908606264,357,4006.551820728291
REV6,joint,augmented_signal_history,full,x_mar_filled,0.02247825137156689,3.4634750117111954,0.0005332461210197869,357,4006.551820728291
REV6,joint,augmented_signal_history,outside_signal_coverage,x_mar_filled,-13.034341160652964,-1.2638373802272969,0.20628840139685545,317,72.70031545741325
REV6,joint,augmented_signal_history,within_signal_coverage,missing_indicator,-0.0007041280895175961,-0.2549224523364052,0.7987829945765879,357,3939.6162464985996
REV6,joint,augmented_signal_history,within_signal_coverage,x_mar_filled,0.02264299809198978,3.4764808664864906,0.0005080404776111621,357,3939.6162464985996
REV6,joint,fixed_x_obs,full,missing_indicator,0.0003337666332557095,0.3956543749872267,0.6923600180037118,356,4004.705056179775
REV6,joint,fixed_x_obs,full,x_mar_filled,0.012661659049986075,3.967511951958872,7.262687095773662e-05,356,4004.705056179775
REV6,joint,fixed_x_obs,outside_signal_coverage,x_mar_filled,3.732317750136513,1.2247755978572414,0.22065978151783272,316,72.75632911392405
REV6,joint,fixed_x_obs,within_signal_coverage,missing_indicator,0.0009426740122401145,1.1377924513463218,0.25520715777150327,356,3937.7359550561796
REV6,joint,fixed_x_obs,within_signal_coverage,x_mar_filled,0.01279552808617285,3.951115406529763,7.778779985943581e-05,356,3937.7359550561796
REV6,recovered_signal,augmented_signal_history,full,x_mar_filled,0.02280073807193237,3.504601183746976,0.0004572917576230429,357,4006.551820728291
REV6,recovered_signal,augmented_signal_history,outside_signal_coverage,x_mar_filled,-13.034341160652964,-1.2638373802272969,0.20628840139685545,317,72.70031545741325
REV6,recovered_signal,augmented_signal_history,within_signal_coverage,x_mar_filled,0.02295973734822089,3.516655836163147,0.00043702003576735754,357,3939.6162464985996
REV6,recovered_signal,fixed_x_obs,full,x_mar_filled,0.012596545056723769,3.9679483978266696,7.249402542751301e-05,356,4004.705056179775
REV6,recovered_signal,fixed_x_obs,outside_signal_coverage,x_mar_filled,3.732317750136513,1.2247755978572414,0.22065978151783272,316,72.75632911392405
REV6,recovered_signal,fixed_x_obs,within_signal_coverage,x_mar_filled,0.012657005837035367,3.936326329559283,8.273844682592822e-05,356,3937.7359550561796
