signal,benchmark_type,control_set,coef_M,t_M,p_M,n_months,avg_cross_section_n,estimator
AnalystRevision,fixed_x_obs,fixed_x_obs,-5.2866323618842815e-06,-0.006659511382340173,0.9946865179602526,360,4000.275,fama_macbeth
AnalystRevision,augmented_signal_history,augmented_signal_history,0.00029989961392523575,0.19051806675436242,0.8489031872322799,359,3996.6044568245125,fama_macbeth
REV6,fixed_x_obs,fixed_x_obs,0.0002595890255519979,0.3058987270527913,0.7596817551980227,356,4004.705056179775,fama_macbeth
REV6,augmented_signal_history,augmented_signal_history,-0.0006585254851800893,-0.2374493875077053,0.8123081793496213,357,4006.551820728291,fama_macbeth
ForecastDispersion,fixed_x_obs,fixed_x_obs,-0.0014045737947892144,-2.0893698332949806,0.03667444458157829,360,4000.275,fama_macbeth
ForecastDispersion,augmented_signal_history,augmented_signal_history,0.0019121328216887082,2.726149258226135,0.006407801474816695,359,4001.490250696379,fama_macbeth
FEPS,fixed_x_obs,fixed_x_obs,-0.00012372093391154165,-0.1579247126292915,0.8745161245574805,360,4000.275,fama_macbeth
FEPS,augmented_signal_history,augmented_signal_history,-0.0007122144763875277,-0.32829947704132445,0.7426852395453044,359,4002.573816155989,fama_macbeth
