signal,benchmark_type,draw_count,J_mean,J_median,J_p05,J_p95,p_mean,p_median,reject_share,stouffer_p,J_avg_moment,p_avg_moment
AnalystRevision,augmented_signal_history,10,579.2023552417486,598.282945562496,405.86061488128036,706.0846534943627,0.0,0.0,1.0,0.0,10819.933585115225,0.0
AnalystRevision,fixed_x_obs,10,347.9648828761407,346.00339614169945,189.01514848528905,531.1351261355611,0.0,0.0,1.0,0.0,11424.01965246159,0.0
FEPS,augmented_signal_history,10,398.67449062007444,241.32023218431073,12.776090000170495,1117.855597255124,0.007314141313052624,0.0,1.0,0.0,9.657281875654525e+17,0.0
FEPS,fixed_x_obs,10,17747.606443964072,16914.950192641736,13648.614116745694,22664.414815092707,0.0,0.0,1.0,0.0,94563322.79785809,0.0
ForecastDispersion,augmented_signal_history,10,3224.548598963636,3222.9617990760817,3134.1415670884426,3325.318297676236,0.0,0.0,1.0,0.0,617913.8076981083,0.0
ForecastDispersion,fixed_x_obs,10,5174.701822278739,5335.932921553805,3937.122752026951,6078.50103149117,0.0,0.0,1.0,0.0,671657.7355337974,0.0
REV6,augmented_signal_history,10,7.334936524094042,7.334472974766413,7.314696369781825,7.362837734595416,0.06195647922128491,0.06196767908218037,0.0,5.712061103002597e-07,4179814059245.953,0.0
REV6,fixed_x_obs,10,1551.0826510597028,1409.1448217657844,1007.134652715936,2373.3417276623977,0.0,0.0,1.0,0.0,20497.796990339095,0.0
