signal,benchmark_type,control_set,coef_M,t_M,p_M,coef_x_filled,t_x_filled,p_x_filled,n_months,avg_cross_section_n,estimator
AnalystRevision,augmented_signal_history,augmented_signal_history,0.00026416240323650286,0.16821658936964626,0.8664128904804621,-0.00021067360697076654,-0.7532135662725133,0.45132158840207703,359,3996.6044568245125,fama_macbeth
AnalystRevision,fixed_x_obs,fixed_x_obs,-1.7322328646437275e-05,-0.02178323025078569,0.9826208713351944,-0.0002179484263965701,-0.7792850668099254,0.435811809358838,360,4000.275,fama_macbeth
FEPS,augmented_signal_history,augmented_signal_history,-0.0008467936645113396,-0.3923475061550267,0.694801466871599,0.0002884225001993235,0.47577649307681064,0.6342336184963607,359,4002.573816155989,fama_macbeth
FEPS,fixed_x_obs,fixed_x_obs,-0.00012299614462526077,-0.15692881288359023,0.8753009517917518,3.776312139135805e-05,0.4170365607475096,0.6766516658122546,360,4000.275,fama_macbeth
ForecastDispersion,augmented_signal_history,augmented_signal_history,0.0019064277573954671,2.7324499418257004,0.006286522365748436,0.00018728946847912291,0.4217861843210192,0.6731810907984428,359,4001.490250696379,fama_macbeth
ForecastDispersion,fixed_x_obs,fixed_x_obs,-0.001423628369226021,-2.1155676056324006,0.03438159941529616,-6.759964911757295e-05,-0.22820816999989915,0.8194844102694099,360,4000.275,fama_macbeth
REV6,augmented_signal_history,augmented_signal_history,-0.0009349996076791124,-0.3331659875618051,0.7390089908606264,0.02247825137156689,3.4634750117111954,0.0005332461210197869,357,4006.551820728291,fama_macbeth
REV6,fixed_x_obs,fixed_x_obs,0.0003337666332557095,0.3956543749872267,0.6923600180037118,0.012661659049986075,3.967511951958872,7.262687095773662e-05,356,4004.705056179775,fama_macbeth
