signal,n_eligible_with_x_obs,n_observed_signal,n_missing_signal,imputation_r_squared,return_model_r_squared,x_obs_column_count,aux_n_obs,aux_r_squared,stage1_f_stat,stage1_p_value,tested_restriction_count,missing_indicator_coef,missing_indicator_pvalue
AnalystRevision,1654078,1256266,397812,0.0002724151905847405,0.0013804853899613834,13,1654078,0.0002645795730964462,31.2674043700742,1.4219704125697872e-84,14,0.05268312218968936,4.4662318543085115e-31
FEPS,1654078,1271107,382971,0.0029233298054734957,0.0013796041531568548,13,1654078,0.00027392181743235433,32.371751777530974,7.700501340110653e-88,14,0.05317719735155448,4.301554827814593e-31
ForecastDispersion,1654078,860201,793877,0.012153006982261405,0.0013802048078837004,13,1654078,0.0004390064581875075,51.8898300853164,6.254502603377755e-146,14,0.02832983407421003,2.44770650353755e-12
REV6,1652892,1232770,420122,0.00013602602138040876,0.0014188876246820081,13,1652892,0.0002732948542789604,32.27447932449023,1.4940224835046247e-87,14,0.05388831547955199,3.009864909337055e-32
