signal,benchmark_type,sample_name,specification,coefficient,is_focus_regressor,month_count,mean_coefficient,t_stat,p_value,positive_month_share,coefficient_std,mean_cross_section_nobs,mean_cross_section_r2
AnalystRevision,fixed_x_obs,full,baseline_missing_only,age,False,360,1.5314722650725992e-05,0.4841366743650727,0.6282888751554887,0.5222222222222223,0.00056345754205381,4000.275,0.05704067977354295
AnalystRevision,fixed_x_obs,full,baseline_missing_only,baspread,False,360,-0.06094838832597435,-1.232843807541739,0.21763404361291927,0.4027777777777778,0.7603397850859427,4000.275,0.05704067977354295
AnalystRevision,fixed_x_obs,full,baseline_missing_only,beta,False,360,0.0009102216970701754,0.6039419997737275,0.545882204084376,0.5194444444444445,0.02659686467582323,4000.275,0.05704067977354295
AnalystRevision,fixed_x_obs,full,baseline_missing_only,bm,False,360,0.0008776378623474724,0.7653103587878726,0.44408675714060364,0.5277777777777778,0.016440515018259,4000.275,0.05704067977354295
AnalystRevision,fixed_x_obs,full,baseline_missing_only,const,False,360,0.026592372417041616,4.334684793455177,1.4596912523559635e-05,0.575,0.1090863311721354,4000.275,0.05704067977354295
AnalystRevision,fixed_x_obs,full,baseline_missing_only,idiovol,False,360,0.02512748895515551,1.0554164158383457,0.2912349183256694,0.5305555555555556,0.42511762307922424,4000.275,0.05704067977354295
AnalystRevision,fixed_x_obs,full,baseline_missing_only,ill,False,360,902.5263475105389,1.7969580804555059,0.07234227493001616,0.6027777777777777,10751.504597064002,4000.275,0.05704067977354295
AnalystRevision,fixed_x_obs,full,baseline_missing_only,maxret,False,360,-0.033486016210643656,-2.8701097834476283,0.004103293076710621,0.43333333333333335,0.22553484101331356,4000.275,0.05704067977354295
AnalystRevision,fixed_x_obs,full,baseline_missing_only,missing_indicator,True,360,-5.2866323618842815e-06,-0.006659511382340173,0.9946865179602526,0.5166666666666667,0.014026483345558146,4000.275,0.05704067977354295
AnalystRevision,fixed_x_obs,full,baseline_missing_only,mom1m,False,360,0.011489192709741861,2.793593228114291,0.005212600136719566,0.5972222222222222,0.0747736354629023,4000.275,0.05704067977354295
AnalystRevision,fixed_x_obs,full,baseline_missing_only,mve,False,360,-0.0010199998909896394,-2.5260445456738885,0.011535485359163504,0.49166666666666664,0.007303486759501416,4000.275,0.05704067977354295
AnalystRevision,fixed_x_obs,full,baseline_missing_only,retvol,False,360,-0.004200415208965663,-0.08673062881690285,0.9308856298686062,0.49444444444444446,0.8606271124263575,4000.275,0.05704067977354295
AnalystRevision,fixed_x_obs,full,baseline_missing_only,std_dolvol,False,360,-0.003392638097944236,-2.2526954007917555,0.024278361141212818,0.46111111111111114,0.033998876059755094,4000.275,0.05704067977354295
AnalystRevision,fixed_x_obs,full,baseline_missing_only,std_turn,False,360,0.00013221431437778844,2.5595750939880078,0.01048002113276919,0.5583333333333333,0.0009432852829494844,4000.275,0.05704067977354295
AnalystRevision,fixed_x_obs,full,baseline_missing_only,turn,False,360,-0.001212868204906548,-3.6136085135499414,0.00030196489214804695,0.3972222222222222,0.007298794604363057,4000.275,0.05704067977354295
AnalystRevision,fixed_x_obs,full,mar_signal_only,age,False,360,1.8203378552139256e-05,0.5795015269932,0.5622508165816701,0.5333333333333333,0.0005576916500230438,4000.275,0.0567787304346499
AnalystRevision,fixed_x_obs,full,mar_signal_only,baspread,False,360,-0.06048403749317155,-1.2166904173339008,0.22372202639058802,0.40555555555555556,0.7618445156833135,4000.275,0.0567787304346499
AnalystRevision,fixed_x_obs,full,mar_signal_only,beta,False,360,0.000886644759138999,0.5823116152155787,0.5603568031510076,0.5083333333333333,0.026814265049728194,4000.275,0.0567787304346499
AnalystRevision,fixed_x_obs,full,mar_signal_only,bm,False,360,0.0009121333151155464,0.7964296658320718,0.42578234110009583,0.525,0.016444630275135604,4000.275,0.0567787304346499
AnalystRevision,fixed_x_obs,full,mar_signal_only,const,False,360,0.027227561411040622,4.598881237925994,4.247658287787336e-06,0.5777777777777777,0.10593462035142258,4000.275,0.0567787304346499
AnalystRevision,fixed_x_obs,full,mar_signal_only,idiovol,False,360,0.02744250599554443,1.13807997303299,0.2550870898582893,0.5194444444444445,0.426774388435468,4000.275,0.0567787304346499
AnalystRevision,fixed_x_obs,full,mar_signal_only,ill,False,360,864.8260732105971,1.7601239654169474,0.07838679019381677,0.6,10956.568512037084,4000.275,0.0567787304346499
AnalystRevision,fixed_x_obs,full,mar_signal_only,maxret,False,360,-0.033197341015456315,-2.8631067443510894,0.004195092077858271,0.4361111111111111,0.2254539752625997,4000.275,0.0567787304346499
AnalystRevision,fixed_x_obs,full,mar_signal_only,mom1m,False,360,0.011418823473123889,2.7564455247137247,0.005843334518998961,0.5972222222222222,0.07497329996785278,4000.275,0.0567787304346499
AnalystRevision,fixed_x_obs,full,mar_signal_only,mve,False,360,-0.0010530996438194438,-2.715725143098944,0.006613079478843309,0.48055555555555557,0.00708504276693714,4000.275,0.0567787304346499
AnalystRevision,fixed_x_obs,full,mar_signal_only,retvol,False,360,-0.006253278374899085,-0.12950511818061006,0.8969579753354071,0.49166666666666664,0.8611208715386778,4000.275,0.0567787304346499
AnalystRevision,fixed_x_obs,full,mar_signal_only,std_dolvol,False,360,-0.0035080531978332915,-2.3573646169904254,0.01840516513131789,0.4638888888888889,0.0344828558835471,4000.275,0.0567787304346499
AnalystRevision,fixed_x_obs,full,mar_signal_only,std_turn,False,360,0.0001355463486494745,2.6401061720486987,0.00828800579362311,0.5555555555555556,0.0009393231098373815,4000.275,0.0567787304346499
AnalystRevision,fixed_x_obs,full,mar_signal_only,turn,False,360,-0.0012258323161324996,-3.6526282843056586,0.00025956984742736056,0.3972222222222222,0.007312024053266356,4000.275,0.0567787304346499
AnalystRevision,fixed_x_obs,full,mar_signal_only,x_mar_filled,True,360,-0.00022615634217281478,-0.8042842540578481,0.42123282925622363,0.4888888888888889,0.0049105029222884095,4000.275,0.0567787304346499
AnalystRevision,fixed_x_obs,full,missing_plus_mar_signal,age,False,360,1.5346473486319395e-05,0.4855308677464629,0.6272998220776019,0.5222222222222223,0.0005634865226324661,4000.275,0.05747958264631882
AnalystRevision,fixed_x_obs,full,missing_plus_mar_signal,baspread,False,360,-0.06188176802834053,-1.2531443675125675,0.210153171890894,0.4027777777777778,0.7592958710541521,4000.275,0.05747958264631882
AnalystRevision,fixed_x_obs,full,missing_plus_mar_signal,beta,False,360,0.0009192217259226894,0.6089980486240394,0.5425257323355888,0.5194444444444445,0.02660783542765082,4000.275,0.05747958264631882
AnalystRevision,fixed_x_obs,full,missing_plus_mar_signal,bm,False,360,0.0008885182842033754,0.7750420399145035,0.4383148184909915,0.5305555555555556,0.01642702184683539,4000.275,0.05747958264631882
AnalystRevision,fixed_x_obs,full,missing_plus_mar_signal,const,False,360,0.02685567633404606,4.387663973028754,1.1457460881203946e-05,0.5805555555555556,0.1092186886364042,4000.275,0.05747958264631882
AnalystRevision,fixed_x_obs,full,missing_plus_mar_signal,idiovol,False,360,0.025680681503739516,1.080345708526718,0.2799882624901029,0.5305555555555556,0.4254951816620851,4000.275,0.05747958264631882
AnalystRevision,fixed_x_obs,full,missing_plus_mar_signal,ill,False,360,904.9414392381302,1.8050687771837872,0.07106392019748811,0.6027777777777777,10726.550234528531,4000.275,0.05747958264631882
AnalystRevision,fixed_x_obs,full,missing_plus_mar_signal,maxret,False,360,-0.03350302903686482,-2.886526341213971,0.0038952013996790187,0.4388888888888889,0.22553635004066,4000.275,0.05747958264631882
AnalystRevision,fixed_x_obs,full,missing_plus_mar_signal,missing_indicator,True,360,-1.7322328646437275e-05,-0.02178323025078569,0.9826208713351944,0.5194444444444445,0.013997782824671663,4000.275,0.05747958264631882
AnalystRevision,fixed_x_obs,full,missing_plus_mar_signal,mom1m,False,360,0.011423850418047759,2.7739344484886868,0.005538283649532544,0.5944444444444444,0.07478141481163793,4000.275,0.05747958264631882
AnalystRevision,fixed_x_obs,full,missing_plus_mar_signal,mve,False,360,-0.001023778583071164,-2.5364586819362316,0.011197995611025625,0.4888888888888889,0.007305157070888848,4000.275,0.05747958264631882
